wksSinceFirstPurch,socialMediaAdCount36,wksSinceLastPurch,intAdExposureCount12,totalNumProdPurchased,intAdExposureCount36,socialMediaAdCountAll,regionPctCustomers,ID,intAdExposureCountAll,DemHomeOwner,LostCustomer,numOfTotalReturns,customerGender,basktPurchCount12Month,customerSubscrStat,socialMediaAdCount12,custInitiatedContacts,techSupportEval
128.0,15.0,5.0,24.0,49.0,44.0,30.0,44.0,185022.0,107.0,H,0,3,F,1,Platinum,6,3,           1
56.0,13.0,16.0,12.0,4.0,27.0,11.0,34.0,72777.0,27.0,H,0,2,F,3,Platinum,6,2,           5
50.0,9.0,7.0,16.0,8.0,24.0,8.0,14.0,185712.0,23.0,U,0,3,F,2,Member,2,2,           2
128.0,15.0,19.0,11.0,16.0,32.0,27.0,43.0,177835.0,67.0,U,0,2,F,3,Platinum,5,3,           3
78.0,11.0,18.0,12.0,6.0,29.0,15.0,29.0,86981.0,39.0,H,1,1,M,2,Platinum,6,2,           3
135.0,17.0,16.0,14.0,25.0,36.0,27.0,32.0,136975.0,68.0,H,1,7,M,1,Platinum,6,3,           2
148.0,7.0,17.0,7.0,15.0,18.0,17.0,60.0,46225.0,49.0,H,0,1,F,3,Platinum,2,3,           2
110.0,14.0,16.0,16.0,19.0,35.0,23.0,28.0,11534.0,76.0,U,0,3,M,3,Platinum,5,3,           2
118.0,6.0,18.0,13.0,7.0,32.0,23.0,29.0,81100.0,55.0,U,0,0,M,5,Platinum,6,2,           5
53.0,9.0,18.0,10.0,2.0,23.0,8.0,31.0,15384.0,21.0,H,1,1,F,3,Platinum,4,1,           5
66.0,14.0,18.0,30.0,2.0,47.0,14.0,15.0,14091.0,53.0,H,0,1,F,5,Platinum,6,1,           5
100.0,14.0,19.0,12.0,7.0,32.0,20.0,38.0,175569.0,50.0,U,0,1,F,2,Platinum,6,2,           3
136.0,17.0,18.0,13.0,10.0,35.0,28.0,44.0,177557.0,64.0,H,0,2,M,3,Platinum,6,3,           3
54.0,7.0,23.0,6.0,2.0,13.0,6.0,27.0,75158.0,13.0,H,0,1,F,3,Platinum,3,1,           5
43.0,7.0,19.0,11.0,1.0,17.0,6.0,32.0,71688.0,15.0,U,0,1,M,5,Gold,4,1,           5
65.0,9.0,16.0,12.0,5.0,25.0,11.0,35.0,87452.0,29.0,U,0,4,F,1,Platinum,6,2,           2
100.0,17.0,18.0,14.0,15.0,36.0,23.0,43.0,176726.0,61.0,U,0,5,M,1,Platinum,6,3,           3
133.0,17.0,17.0,13.0,13.0,34.0,28.0,35.0,175557.0,62.0,H,0,3,F,2,Platinum,6,3,           2
64.0,7.0,24.0,12.0,4.0,23.0,12.0,32.0,86237.0,22.0,U,0,0,F,5,Platinum,6,2,           5
55.0,13.0,18.0,13.0,3.0,28.0,12.0,32.0,70992.0,27.0,H,0,2,F,3,Platinum,6,2,           5
134.0,16.0,25.0,11.0,14.0,31.0,29.0,44.0,45235.0,71.0,U,0,1,M,3,Platinum,5,2,           4
62.0,4.0,25.0,9.0,3.0,29.0,13.0,38.0,47762.0,31.0,U,0,0,F,5,Platinum,4,0,           .
62.0,15.0,6.0,22.0,9.0,37.0,15.0,33.0,187026.0,41.0,H,0,2,F,3,Platinum,8,2,           5
64.0,13.0,20.0,11.0,4.0,28.0,12.0,12.0,191625.0,29.0,U,0,1,U,5,Platinum,4,1,           5
69.0,16.0,20.0,13.0,9.0,32.0,17.0,41.0,181971.0,39.0,H,0,4,M,2,Platinum,6,2,           1
133.0,16.0,16.0,14.0,18.0,35.0,30.0,35.0,152998.0,74.0,H,1,4,M,1,Platinum,6,3,           1
64.0,13.0,18.0,13.0,5.0,28.0,12.0,49.0,45673.0,29.0,U,1,2,M,2,Platinum,6,2,           2
92.0,13.0,19.0,12.0,5.0,29.0,15.0,2.0,85661.0,36.0,U,0,2,F,3,Platinum,6,2,           3
114.0,14.0,17.0,13.0,8.0,30.0,22.0,29.0,157479.0,54.0,U,0,3,M,3,Platinum,6,3,           3
98.0,15.0,16.0,14.0,9.0,33.0,24.0,22.0,74838.0,59.0,U,0,1,M,5,Platinum,6,2,           5
48.0,6.0,17.0,11.0,3.0,20.0,8.0,23.0,70126.0,17.0,H,0,0,M,2,Platinum,5,0,           .
117.0,13.0,18.0,14.0,8.0,33.0,21.0,38.0,47156.0,55.0,H,0,1,M,3,Platinum,6,2,           3
73.0,5.0,22.0,5.0,6.0,13.0,8.0,28.0,15000.0,19.0,U,0,1,F,5,Member,1,2,           4
150.0,16.0,7.0,22.0,22.0,43.0,33.0,39.0,185556.0,89.0,H,0,2,M,3,Platinum,6,3,           4
54.0,13.0,17.0,13.0,4.0,28.0,11.0,29.0,68483.0,28.0,U,0,4,F,2,Platinum,6,2,           3
68.0,15.0,17.0,13.0,5.0,32.0,15.0,51.0,45675.0,34.0,H,0,1,M,3,Platinum,6,2,           5
94.0,5.0,21.0,11.0,5.0,29.0,18.0,21.0,74152.0,45.0,H,0,0,F,5,Platinum,6,1,           5
46.0,8.0,22.0,9.0,1.0,19.0,7.0,28.0,169281.0,16.0,U,0,1,F,5,Gold,3,1,           5
91.0,15.0,19.0,14.0,15.0,34.0,21.0,39.0,44635.0,56.0,U,0,3,F,1,Platinum,5,3,           2
91.0,6.0,18.0,12.0,5.0,27.0,16.0,36.0,82463.0,46.0,H,0,0,F,5,Platinum,6,2,           5
41.0,6.0,17.0,10.0,1.0,15.0,5.0,24.0,60440.0,13.0,H,0,1,F,5,Gold,4,1,           5
67.0,11.0,18.0,11.0,5.0,27.0,12.0,33.0,183342.0,30.0,U,0,2,M,3,Platinum,4,2,           5
48.0,9.0,16.0,12.0,3.0,22.0,8.0,23.0,50183.0,20.0,H,0,1,F,3,Gold,5,1,           3
40.0,2.0,16.0,6.0,1.0,8.0,2.0,26.0,187208.0,7.0,U,0,1,U,5,Member,1,1,           5
41.0,2.0,17.0,5.0,1.0,7.0,2.0,21.0,187207.0,6.0,U,0,1,M,5,Member,1,1,           5
68.0,14.0,16.0,12.0,10.0,30.0,15.0,27.0,47565.0,35.0,H,1,4,F,1,Platinum,5,2,           2
93.0,15.0,16.0,14.0,11.0,33.0,21.0,41.0,15625.0,55.0,H,0,4,M,2,Platinum,5,3,           2
72.0,13.0,18.0,9.0,6.0,27.0,14.0,32.0,174851.0,32.0,H,0,2,F,3,Platinum,4,2,           5
89.0,21.0,15.0,28.0,24.0,49.0,35.0,26.0,948.0,92.0,U,0,3,U,1,Platinum,11,2,           4
89.0,20.0,7.0,26.0,13.0,45.0,28.0,32.0,806.0,71.0,H,0,1,F,3,Platinum,11,2,           3
98.0,13.0,18.0,13.0,5.0,27.0,15.0,39.0,49524.0,37.0,H,0,2,F,3,Platinum,5,2,           3
110.0,9.0,16.0,26.0,11.0,44.0,24.0,40.0,7467.0,77.0,U,0,0,M,3,Platinum,6,2,           5
51.0,6.0,17.0,11.0,2.0,16.0,5.0,33.0,153077.0,13.0,H,0,1,F,3,Platinum,4,1,           5
153.0,16.0,22.0,14.0,29.0,36.0,31.0,34.0,17206.0,83.0,H,0,3,M,2,Platinum,5,3,           2
40.0,6.0,16.0,11.0,1.0,16.0,5.0,48.0,73295.0,13.0,U,0,1,F,5,Gold,4,1,           5
98.0,12.0,17.0,8.0,14.0,21.0,16.0,5.0,87847.0,38.0,U,0,4,F,2,Platinum,4,3,           2
91.0,4.0,19.0,10.0,3.0,23.0,13.0,31.0,95832.0,37.0,U,0,0,M,3,Platinum,4,1,           5
48.0,8.0,24.0,9.0,1.0,19.0,7.0,49.0,172500.0,17.0,H,0,1,M,5,Gold,4,1,           5
47.0,7.0,21.0,8.0,1.0,16.0,6.0,16.0,73709.0,15.0,U,0,1,M,5,Gold,3,1,           5
110.0,15.0,7.0,21.0,17.0,37.0,23.0,27.0,185689.0,63.0,H,0,3,F,1,Platinum,9,3,           1
102.0,5.0,19.0,12.0,5.0,30.0,20.0,19.0,90697.0,51.0,U,0,0,F,5,Platinum,4,2,           5
84.0,5.0,23.0,12.0,6.0,33.0,20.0,31.0,88996.0,50.0,H,0,0,F,5,Platinum,5,1,           5
94.0,16.0,18.0,13.0,12.0,34.0,21.0,35.0,24892.0,56.0,U,0,2,F,2,Platinum,6,3,           2
86.0,10.0,19.0,12.0,5.0,29.0,18.0,49.0,48173.0,45.0,U,0,0,M,5,Platinum,6,0,           .
66.0,13.0,19.0,10.0,6.0,26.0,13.0,28.0,148941.0,32.0,U,1,2,F,1,Platinum,6,2,           2
120.0,12.0,16.0,13.0,14.0,28.0,20.0,25.0,37915.0,49.0,H,0,2,F,2,Platinum,5,3,           1
85.0,6.0,18.0,13.0,5.0,33.0,20.0,24.0,90026.0,48.0,H,0,0,M,5,Platinum,6,1,           5
65.0,13.0,18.0,13.0,5.0,29.0,12.0,50.0,45674.0,30.0,U,1,2,M,2,Platinum,6,2,           2
66.0,16.0,18.0,14.0,6.0,33.0,16.0,26.0,15888.0,38.0,U,1,2,M,2,Platinum,6,2,           5
48.0,11.0,16.0,15.0,3.0,25.0,9.0,24.0,184969.0,23.0,U,0,2,M,3,Gold,6,2,           5
116.0,4.0,26.0,9.0,6.0,28.0,18.0,30.0,102240.0,48.0,H,0,0,F,5,Platinum,4,2,           5
56.0,6.0,17.0,6.0,3.0,13.0,6.0,28.0,187526.0,14.0,U,1,3,M,3,Member,2,2,           5
64.0,14.0,19.0,13.0,5.0,30.0,14.0,29.0,73628.0,34.0,H,0,2,F,3,Platinum,6,2,           5
45.0,8.0,21.0,11.0,1.0,18.0,7.0,53.0,45654.0,16.0,U,0,1,M,5,Gold,5,1,           5
121.0,16.0,24.0,11.0,18.0,31.0,27.0,26.0,139023.0,65.0,U,0,2,F,3,Platinum,5,3,           2
52.0,6.0,15.0,4.0,4.0,10.0,6.0,28.0,190085.0,9.0,U,0,2,F,3,Member,2,2,           2
46.0,10.0,17.0,15.0,3.0,24.0,8.0,32.0,150266.0,22.0,U,0,2,M,3,Gold,6,2,           3
71.0,14.0,22.0,10.0,7.0,29.0,16.0,36.0,178054.0,37.0,H,0,1,M,3,Platinum,4,2,           5
78.0,16.0,10.0,21.0,6.0,41.0,19.0,35.0,186224.0,50.0,H,0,1,M,3,Platinum,7,2,           5
79.0,17.0,20.0,14.0,8.0,34.0,21.0,24.0,24657.0,50.0,H,0,4,M,2,Platinum,6,2,           2
69.0,14.0,18.0,12.0,4.0,31.0,15.0,30.0,15080.0,37.0,H,0,2,M,3,Platinum,5,2,           5
83.0,20.0,8.0,24.0,10.0,42.0,22.0,45.0,1139.0,59.0,H,0,2,F,1,Platinum,11,2,           3
103.0,16.0,17.0,14.0,16.0,35.0,24.0,47.0,22292.0,63.0,U,0,2,U,1,Platinum,6,2,           2
103.0,12.0,21.0,13.0,14.0,31.0,22.0,57.0,103871.0,60.0,U,0,1,M,3,Platinum,6,3,           1
137.0,12.0,17.0,12.0,16.0,30.0,28.0,21.0,67932.0,71.0,U,0,1,M,5,Platinum,5,3,           2
64.0,5.0,26.0,10.0,2.0,31.0,14.0,24.0,78235.0,33.0,U,0,0,F,5,Platinum,5,1,           5
102.0,13.0,11.0,15.0,8.0,31.0,21.0,35.0,14435.0,68.0,U,0,1,M,5,Platinum,6,2,           4
66.0,11.0,20.0,11.0,4.0,28.0,12.0,25.0,76305.0,31.0,H,1,2,M,3,Platinum,6,2,           3
140.0,3.0,15.0,8.0,8.0,22.0,17.0,41.0,103779.0,42.0,H,0,0,F,5,Member,3,2,           5
153.0,19.0,7.0,25.0,32.0,45.0,39.0,34.0,1934.0,99.0,U,0,2,M,2,Platinum,10,3,           3
54.0,11.0,17.0,11.0,4.0,24.0,10.0,32.0,65209.0,26.0,H,1,2,F,2,Platinum,6,2,           3
52.0,11.0,20.0,10.0,4.0,23.0,9.0,39.0,74735.0,21.0,H,0,1,M,5,Gold,3,1,           5
145.0,16.0,25.0,12.0,25.0,33.0,31.0,22.0,43396.0,76.0,U,0,3,U,2,Platinum,5,3,           2
57.0,15.0,16.0,16.0,5.0,34.0,13.0,20.0,15052.0,32.0,U,0,3,M,2,Platinum,6,2,           5
79.0,7.0,18.0,11.0,4.0,26.0,14.0,28.0,75300.0,38.0,H,1,0,M,5,Member,3,2,           5
123.0,17.0,22.0,12.0,13.0,33.0,27.0,8.0,139073.0,62.0,H,1,1,F,3,Platinum,6,2,           3
104.0,7.0,8.0,20.0,8.0,41.0,25.0,38.0,186644.0,66.0,H,0,0,M,3,Platinum,7,2,           5
128.0,6.0,19.0,12.0,5.0,31.0,19.0,39.0,101481.0,45.0,U,0,0,F,3,Platinum,6,2,           5
55.0,4.0,18.0,10.0,2.0,23.0,8.0,35.0,47218.0,22.0,H,0,0,M,3,Platinum,4,0,           .
77.0,6.0,18.0,13.0,7.0,35.0,19.0,30.0,90063.0,46.0,H,0,0,F,3,Platinum,6,1,           5
51.0,12.0,18.0,12.0,3.0,25.0,10.0,49.0,45661.0,24.0,H,0,1,F,3,Gold,6,1,           3
53.0,13.0,16.0,13.0,6.0,27.0,11.0,30.0,135053.0,25.0,U,1,4,F,1,Platinum,6,2,           2
72.0,10.0,23.0,10.0,3.0,25.0,12.0,44.0,165281.0,34.0,U,0,2,M,3,Platinum,4,2,           5
40.0,7.0,16.0,12.0,1.0,17.0,6.0,36.0,68392.0,14.0,U,0,1,F,5,Gold,5,1,           5
81.0,16.0,21.0,15.0,8.0,34.0,19.0,32.0,15914.0,47.0,U,0,4,F,2,Platinum,6,3,           4
97.0,16.0,21.0,12.0,9.0,32.0,22.0,24.0,16518.0,56.0,H,0,3,F,3,Platinum,6,3,           3
147.0,16.0,22.0,12.0,14.0,33.0,31.0,37.0,45740.0,71.0,H,0,2,M,3,Platinum,6,3,           2
86.0,14.0,17.0,13.0,6.0,31.0,18.0,32.0,46147.0,45.0,H,0,1,M,3,Platinum,5,2,           5
69.0,12.0,23.0,8.0,7.0,20.0,13.0,37.0,173997.0,29.0,U,0,2,F,3,Platinum,4,2,           4
80.0,21.0,17.0,26.0,9.0,47.0,33.0,36.0,1425.0,87.0,H,0,4,F,2,Platinum,11,2,           4
114.0,6.0,20.0,12.0,7.0,31.0,22.0,18.0,89408.0,55.0,H,0,0,M,3,Platinum,6,2,           5
60.0,9.0,15.0,13.0,6.0,28.0,12.0,28.0,47561.0,29.0,H,0,0,F,3,Platinum,6,0,           .
108.0,14.0,23.0,11.0,11.0,29.0,22.0,24.0,50288.0,55.0,H,0,1,F,3,Platinum,6,3,           3
152.0,15.0,19.0,13.0,14.0,33.0,26.0,37.0,70182.0,58.0,H,0,1,F,3,Platinum,6,3,           2
44.0,4.0,20.0,10.0,1.0,17.0,5.0,28.0,73096.0,15.0,H,0,0,M,5,Gold,4,0,           .
137.0,15.0,17.0,13.0,23.0,30.0,29.0,35.0,124907.0,70.0,H,1,2,M,2,Platinum,6,3,           1
45.0,7.0,8.0,11.0,2.0,19.0,6.0,29.0,186575.0,17.0,U,1,1,M,5,Gold,4,2,           5
134.0,13.0,18.0,12.0,7.0,29.0,27.0,26.0,47799.0,62.0,H,0,1,M,3,Platinum,5,2,           3
92.0,6.0,26.0,11.0,4.0,32.0,18.0,15.0,83433.0,49.0,H,0,0,M,5,Platinum,5,1,           5
53.0,12.0,17.0,13.0,8.0,25.0,10.0,46.0,45928.0,25.0,H,0,4,F,1,Platinum,6,2,           2
56.0,6.0,16.0,7.0,3.0,14.0,6.0,35.0,187487.0,14.0,U,0,2,F,3,Member,2,2,           5
127.0,6.0,19.0,13.0,8.0,28.0,25.0,33.0,96538.0,60.0,H,0,0,F,5,Platinum,6,2,           4
117.0,5.0,26.0,11.0,11.0,32.0,25.0,47.0,102495.0,61.0,U,0,0,M,3,Platinum,5,3,           4
91.0,12.0,19.0,13.0,6.0,27.0,17.0,38.0,69788.0,45.0,H,0,1,M,5,Platinum,6,2,           5
104.0,17.0,18.0,13.0,12.0,34.0,24.0,30.0,20821.0,65.0,U,0,1,F,2,Platinum,6,2,           3
132.0,4.0,18.0,11.0,4.0,26.0,16.0,27.0,77582.0,45.0,U,0,0,F,3,Platinum,4,2,           5
103.0,19.0,18.0,23.0,12.0,43.0,35.0,29.0,489.0,89.0,U,0,1,F,5,Platinum,10,2,           5
75.0,13.0,19.0,11.0,6.0,29.0,14.0,41.0,183132.0,35.0,U,0,2,M,3,Platinum,4,2,           5
51.0,9.0,23.0,10.0,1.0,22.0,8.0,35.0,165812.0,22.0,H,0,1,M,5,Gold,3,1,           5
91.0,4.0,23.0,10.0,4.0,26.0,14.0,7.0,93489.0,41.0,H,0,0,M,5,Platinum,4,1,           5
135.0,7.0,8.0,32.0,22.0,35.0,26.0,32.0,9457.0,97.0,H,0,0,F,10,Platinum,6,3,           4
64.0,9.0,17.0,12.0,4.0,28.0,13.0,34.0,18202.0,33.0,U,0,1,F,3,Platinum,4,1,           5
86.0,14.0,16.0,12.0,10.0,28.0,18.0,32.0,86892.0,45.0,H,0,3,F,2,Platinum,5,2,           2
59.0,10.0,18.0,13.0,5.0,31.0,12.0,29.0,52033.0,32.0,H,0,0,M,3,Platinum,6,0,           .
41.0,6.0,16.0,11.0,2.0,16.0,5.0,26.0,128226.0,14.0,U,1,1,U,5,Gold,4,1,           5
141.0,5.0,18.0,14.0,11.0,33.0,28.0,27.0,47675.0,70.0,H,0,0,F,3,Platinum,5,3,           2
99.0,4.0,26.0,9.0,5.0,28.0,18.0,27.0,16333.0,50.0,U,0,0,M,5,Platinum,4,2,           5
101.0,6.0,19.0,13.0,4.0,31.0,21.0,35.0,102834.0,51.0,U,0,0,U,3,Platinum,6,1,           5
65.0,8.0,19.0,11.0,3.0,25.0,12.0,30.0,75510.0,29.0,H,0,0,F,5,Platinum,6,1,           5
72.0,15.0,16.0,15.0,5.0,31.0,17.0,22.0,16176.0,40.0,H,0,1,M,5,Platinum,6,2,           3
70.0,13.0,12.0,25.0,5.0,40.0,15.0,32.0,185491.0,47.0,H,0,1,M,3,Platinum,6,2,           5
44.0,5.0,19.0,10.0,1.0,13.0,6.0,29.0,72882.0,14.0,H,0,0,M,10,Gold,4,0,           .
42.0,6.0,17.0,10.0,1.0,15.0,5.0,18.0,69324.0,13.0,H,0,1,F,5,Gold,4,1,           5
134.0,12.0,16.0,27.0,13.0,42.0,28.0,27.0,14106.0,79.0,U,0,1,F,3,Platinum,5,2,           5
65.0,12.0,23.0,12.0,3.0,27.0,12.0,24.0,15587.0,30.0,H,0,1,M,3,Platinum,6,2,           5
87.0,6.0,20.0,30.0,3.0,43.0,16.0,22.0,14104.0,63.0,U,0,0,M,5,Platinum,6,1,           5
59.0,14.0,19.0,13.0,5.0,31.0,14.0,32.0,184995.0,34.0,U,0,2,M,2,Platinum,5,2,           5
118.0,16.0,20.0,13.0,17.0,33.0,26.0,30.0,26858.0,65.0,H,0,1,F,3,Platinum,6,2,           2
51.0,4.0,15.0,11.0,2.0,21.0,7.0,24.0,47978.0,21.0,H,0,0,F,3,Member,3,0,           .
116.0,5.0,26.0,26.0,14.0,26.0,21.0,21.0,10279.0,74.0,U,0,0,U,10,Platinum,5,2,           3
81.0,15.0,26.0,12.0,5.0,31.0,17.0,35.0,82804.0,42.0,H,0,2,M,3,Platinum,5,2,           3
42.0,7.0,18.0,11.0,1.0,16.0,6.0,46.0,118771.0,14.0,H,0,1,M,5,Gold,5,1,           5
151.0,9.0,23.0,11.0,8.0,29.0,29.0,21.0,68288.0,63.0,U,0,2,F,3,Platinum,4,3,           3
48.0,7.0,24.0,8.0,1.0,18.0,6.0,36.0,59253.0,16.0,H,0,1,M,5,Gold,3,1,           5
43.0,9.0,4.0,31.0,4.0,36.0,7.0,44.0,14184.0,36.0,U,0,1,F,3,Gold,6,1,           5
56.0,6.0,18.0,12.0,3.0,26.0,9.0,50.0,46314.0,25.0,H,0,0,M,3,Platinum,4,0,           .
43.0,4.0,16.0,12.0,1.0,19.0,7.0,46.0,68235.0,17.0,U,0,0,F,5,Gold,4,0,           .
83.0,5.0,16.0,12.0,4.0,30.0,17.0,36.0,97179.0,43.0,U,0,0,F,3,Member,5,1,           5
71.0,5.0,22.0,11.0,5.0,30.0,15.0,29.0,91667.0,35.0,H,0,0,F,3,Platinum,6,1,           5
40.0,7.0,16.0,12.0,1.0,17.0,6.0,33.0,60303.0,14.0,H,0,1,M,5,Gold,5,1,           5
47.0,5.0,22.0,10.0,1.0,11.0,6.0,28.0,70974.0,15.0,H,0,0,F,10,Gold,4,0,           .
41.0,7.0,4.0,11.0,4.0,15.0,6.0,6.0,189311.0,14.0,U,1,1,M,3,Gold,5,1,           3
107.0,15.0,19.0,12.0,8.0,30.0,24.0,27.0,148556.0,53.0,U,1,2,F,2,Platinum,6,3,           3
82.0,6.0,24.0,11.0,6.0,33.0,20.0,26.0,88965.0,47.0,H,0,0,F,5,Platinum,6,2,           5
140.0,5.0,20.0,11.0,10.0,29.0,23.0,34.0,48264.0,56.0,H,0,0,M,3,Platinum,6,2,           3
59.0,10.0,4.0,15.0,7.0,24.0,11.0,27.0,189042.0,31.0,U,0,1,M,5,Gold,5,2,           3
61.0,12.0,16.0,11.0,6.0,25.0,14.0,38.0,45214.0,29.0,U,0,1,F,3,Platinum,5,1,           5
142.0,16.0,18.0,13.0,15.0,32.0,30.0,15.0,43385.0,72.0,H,0,1,F,2,Platinum,6,3,           2
44.0,8.0,17.0,11.0,1.0,19.0,7.0,27.0,173525.0,16.0,H,1,1,F,5,Gold,5,1,           5
91.0,4.0,26.0,9.0,5.0,27.0,19.0,29.0,101926.0,49.0,H,0,0,M,5,Platinum,4,2,           5
66.0,15.0,22.0,12.0,4.0,31.0,15.0,19.0,68995.0,34.0,H,0,2,F,3,Platinum,6,2,           5
108.0,6.0,18.0,13.0,7.0,34.0,24.0,14.0,90700.0,58.0,H,0,0,F,3,Platinum,6,2,           5
133.0,16.0,21.0,13.0,13.0,32.0,28.0,47.0,147249.0,64.0,H,0,2,F,3,Platinum,6,3,           2
146.0,15.0,17.0,15.0,14.0,35.0,30.0,23.0,21606.0,69.0,U,0,1,F,3,Platinum,6,3,           2
56.0,16.0,16.0,23.0,9.0,38.0,19.0,33.0,1921.0,46.0,H,0,4,F,1,Platinum,9,2,           1
44.0,5.0,20.0,11.0,1.0,17.0,6.0,24.0,67594.0,17.0,U,0,0,F,5,Gold,5,0,           .
77.0,5.0,22.0,28.0,6.0,28.0,16.0,36.0,10184.0,65.0,U,0,0,F,10,Platinum,5,2,           5
62.0,13.0,16.0,11.0,7.0,28.0,12.0,38.0,68525.0,29.0,U,0,3,U,1,Platinum,5,2,           2
71.0,15.0,20.0,12.0,6.0,32.0,16.0,44.0,45839.0,38.0,H,0,2,M,3,Platinum,6,2,           5
53.0,5.0,18.0,7.0,4.0,13.0,5.0,38.0,187428.0,12.0,U,0,1,M,3,Member,2,1,           5
91.0,17.0,18.0,13.0,5.0,35.0,21.0,18.0,15364.0,54.0,H,0,1,M,3,Platinum,6,2,           5
130.0,5.0,19.0,12.0,14.0,29.0,25.0,29.0,87897.0,65.0,H,0,0,F,3,Platinum,5,3,           2
64.0,20.0,7.0,22.0,9.0,42.0,24.0,48.0,1764.0,59.0,H,0,2,M,1,Platinum,10,2,           3
125.0,12.0,21.0,13.0,5.0,27.0,23.0,40.0,43765.0,58.0,H,0,1,F,5,Platinum,6,2,           4
121.0,17.0,20.0,14.0,11.0,35.0,28.0,47.0,44299.0,72.0,H,0,3,F,3,Platinum,6,2,           4
42.0,5.0,18.0,11.0,1.0,17.0,5.0,33.0,71639.0,14.0,U,0,0,U,5,Gold,4,0,           .
40.0,3.0,16.0,6.0,1.0,8.0,3.0,31.0,187222.0,7.0,U,0,1,M,5,Member,2,1,           5
41.0,6.0,16.0,10.0,2.0,14.0,5.0,30.0,75882.0,13.0,U,0,1,F,3,Gold,4,1,           2
47.0,5.0,23.0,4.0,1.0,9.0,5.0,29.0,190040.0,8.0,U,0,1,M,5,Member,2,1,           5
93.0,21.0,17.0,24.0,15.0,45.0,28.0,42.0,697.0,73.0,U,0,2,F,2,Platinum,11,2,           2
85.0,17.0,19.0,13.0,10.0,34.0,21.0,37.0,138338.0,50.0,H,1,2,F,2,Platinum,6,2,           2
57.0,13.0,17.0,14.0,5.0,30.0,11.0,46.0,45933.0,28.0,H,0,3,M,2,Platinum,6,2,           2
40.0,5.0,16.0,12.0,1.0,17.0,6.0,21.0,73223.0,14.0,H,0,0,F,5,Gold,5,0,           .
138.0,11.0,18.0,11.0,14.0,27.0,24.0,48.0,45452.0,65.0,H,0,1,M,5,Platinum,4,3,           3
124.0,16.0,19.0,13.0,13.0,32.0,26.0,34.0,153017.0,62.0,H,1,2,F,3,Platinum,6,3,           2
42.0,7.0,16.0,11.0,2.0,17.0,6.0,39.0,74353.0,15.0,U,0,1,M,5,Gold,5,1,           5
41.0,3.0,17.0,7.0,1.0,9.0,3.0,28.0,187231.0,8.0,U,0,1,M,5,Member,2,1,           5
95.0,23.0,7.0,33.0,22.0,52.0,30.0,28.0,2474.0,84.0,U,0,7,M,1,Platinum,14,3,           1
149.0,8.0,14.0,29.0,24.0,46.0,31.0,32.0,9197.0,102.0,H,0,0,F,5,Platinum,6,3,           4
46.0,8.0,17.0,10.0,3.0,18.0,7.0,29.0,145424.0,17.0,H,0,1,F,5,Gold,4,1,           5
99.0,6.0,15.0,12.0,6.0,23.0,13.0,11.0,104372.0,34.0,H,0,0,F,3,Platinum,6,1,           3
